Rule: ('11469144838403584',) ==> ('7304178417862144',) , 0.140
Rule: ('7708925667033344',) ==> ('10666016019011968',) , 0.141
Rule: ('22111632762112384',) ==> ('7622515220085888',) , 0.141
Rule: ('25684213132401152',) ==> ('27424405030704256',) , 0.142
Rule: ('21352602247922688',) ==> ('24555101931700992',) , 0.142
Rule: ('12890630300398464',) ==> ('21352602247922688',) , 0.142
Rule: ('11469144838403584', '9869596206970368') ==> ('9664617818813440',) , 0.143
Rule: ('16568967799766400',) ==> ('17020968010150272',) , 0.143
Rule: ('21352602247922688', '24555101931700992') ==> ('5368145410852864',) , 0.143
Rule: ('17014721785656192',) ==> ('7304178417862144',) , 0.143
Rule: ('11469144838403584', '10666016019011968') ==> ('7304178417862144',) , 0.144
Rule: ('5368145410852864', '24555101931700992') ==> ('8761980780914176',) , 0.144
Rule: ('6970940763878656',) ==> ('7708925667033344',) , 0.144
Rule: ('11469144838403584', '9664617818813440') ==> ('9869596206970368',) , 0.145
Rule: ('4931541047197568',) ==> ('10702039788833536',) , 0.146
Rule: ('2559223020059393024',) ==> ('17020968010150272',) , 0.146
Rule: ('13028013150926080',) ==> ('27659050913272320',) , 0.146
Rule: ('7304178417862144',) ==> ('9869596206970368',) , 0.147
Rule: ('20801100627439104',) ==> ('27424405030704256',) , 0.147
Rule: ('7226958664056192',) ==> ('10702039788833536',) , 0.147
Rule: ('5368145410852864',) ==> ('24555101931700992',) , 0.147
Rule: ('11469144838403584', '7304178417862144') ==> ('9664617818813440',) , 0.148
Rule: ('10805561385801984',) ==> ('10702039788833536',) , 0.148
Rule: ('27424405030704256',) ==> ('25684213132401152',) , 0.150
Rule: ('10132773012132480',) ==> ('20913698224569728',) , 0.150
Rule: ('20801100627439104',) ==> ('25684213132401152',) , 0.151
Rule: ('16568967799766400',) ==> ('11469144838403584',) , 0.151
Rule: ('5420474487543424',) ==> ('27659050913272320',) , 0.152
Rule: ('25684213132401152',) ==> ('21352602247922688',) , 0.153
Rule: ('10702039788833536',) ==> ('11469144838403584',) , 0.155
Rule: ('28102813102903168',) ==> ('27659050913272320',) , 0.155
Rule: ('22579552000781696',) ==> ('27659050913272320',) , 0.156
Rule: ('23876020628428288',) ==> ('25684213132401152',) , 0.157
Rule: ('8761980780914176',) ==> ('5368145410852864',) , 0.158
Rule: ('22682133268421888',) ==> ('14604440363231232',) , 0.158
Rule: ('21352602247922688', '12890630300398464') ==> ('27424405030704256',) , 0.158
Rule: ('29726326054516096',) ==> ('17020968010150272',) , 0.160
Rule: ('18140151421282816',) ==> ('21793729483431168',) , 0.160
Rule: ('11939886139089280',) ==> ('7944825135218048',) , 0.161
Rule: ('27424405030704256',) ==> ('21352602247922688',) , 0.161
Rule: ('11469144838403584', '9664617818813440') ==> ('7304178417862144',) , 0.161
Rule: ('9664617818813440',) ==> ('10666016019011968',) , 0.161
Rule: ('17878942819251712',) ==> ('21925619338357120',) , 0.162
Rule: ('16754961358140416',) ==> ('21925619338357120',) , 0.162
Rule: ('21352602247922688', '27424405030704256') ==> ('12890630300398464',) , 0.163
Rule: ('25852107163403776',) ==> ('12752744133659008',) , 0.165
Rule: ('17020968010150272', '9619453553227520') ==> ('11375118072159104',) , 0.165
Rule: ('21352602247922688', '12890630300398464') ==> ('25684213132401152',) , 0.166
Rule: ('27424405030704256', '25684213132401152') ==> ('27659050913272320',) , 0.167
Rule: ('22932076739590784',) ==> ('5347304350422912',) , 0.168
Rule: ('9452576893995904',) ==> ('26333332478573952',) , 0.169
Rule: ('17547497714680320',) ==> ('24555101931700992',) , 0.169
Rule: ('7176909678787200',) ==> ('17020968010150272',) , 0.169
Rule: ('5900178311639552',) ==> ('10666016019011968',) , 0.170
Rule: ('21352602247922688', '25684213132401152') ==> ('12890630300398464',) , 0.171
Rule: ('9664617818813440', '7304178417862144') ==> ('10666016019011968',) , 0.172
Rule: ('7708925667033344',) ==> ('11469144838403584',) , 0.173
Rule: ('22579552000781696',) ==> ('22370628148540672',) , 0.173
Rule: ('14466818336827776',) ==> ('7622515220085888',) , 0.174
Rule: ('17941835331811840',) ==> ('14604440363231232',) , 0.175
